연번,시·도,호소명,지정일자,지정권자,시작,종료,호소 용수목적
1,대구,도원지,10/21/98,달서구청장,1998/10/21,계속,수질보전
2,대구,수성못,2007/1/15,수성구청장,2015/07/01,계속,수질보전
3,대구,옥연지,11/10/15,달성군수,2015/11/10,계속,농업용
4,대구,금봉지,2007/8/16,달성군수,2016/07/08,계속,농업용
5,대구,용흥지,2007/8/16,달성군수,2016/07/08,계속,농업용
6,울산,"선암저수지
 (울산 남구)",5/15/99,울산 남구청장,1999/05/15,계속,"공업용,생활용"
7,울산,대암댐,11/26/98,울주군수,1998/11/26,계속,"상수원,공업용"
8,울산,사연댐,11/26/98,울주군수,1998/11/26,계속,"상수원,공업용"
9,울산,태화저수지,11/8/21,울산 중구청장,2021/11/08,계속,농업용
10,경기,반월저수지,11/21/11,군포시장,2011/11/21,계속,농업용
11,경기,갈치저수지,11/21/11,군포시장,2011/11/21,계속,농업용
12,경기,대왕저수지,2007/07/03,성남시장,2003/07/07,계속,농업용
13,경기,운중저수지,2/20/07,성남시장,2007/02/20,계속,농업용
14,경기,서현저수지,2/20/07,성남시장,2007/02/20,계속,농업용
15,경기,낙생저수지,2001/1/14,성남시장,2014/01/01,계속,농업용
16,경기,기흥저수지,8/25/10,용인시장,2010/08/25,계속,농업용
17,경기,낙생저수지,2001/1/14,용인시장,2014/01/01,계속,농업용
18,경기,공릉저수지,2002/1/17,파주시장,2017/02/01,계속,농업용
19,경기,애룡저수지,2002/1/17,파주시장,2017/02/01,계속,농업용
20,경기,마장저수지,2005/12/09,파주시장,2009/05/12,계속,농업용
21,경기,금파저수지,2005/12/09,파주시장,2009/05/12,계속,농업용
22,경기,초리저수지,2005/12/09,파주시장,2009/05/12,계속,농업용
23,경기,봉암저수지,2005/12/09,파주시장,2009/05/12,계속,농업용
24,경기,남양호,8/16/04,평택시장,2004/08/16,계속,농업용
25,경기,남양호,2001/01/04,화성시장,2004/01/01,계속,농업용
26,경기,보통리저수지,2001/01/04,화성시장,2004/01/01,계속,하천유지관리
27,경기,삼화리농수로,2006/02/09,화성시장,2009/06/02,계속,농업용
28,경기,남양읍 문호리농수로,2004/1/10,화성시장,2010/04/01,계속,농업용
29,경기,대벽저류지,10/8/15,김포시장,2015/10/08,계속,농업용
30,경기,백운호수,11/30/01,의왕시장,2001/11/30,계속,농업용
31,경기,오전저수지,11/30/01,의왕시장,2001/11/30,계속,농업용
32,경기,왕송호수,2008/01/03,의왕시장,2003/08/01,계속,농업용
33,경기,"일왕저수지
 (만석거)",6/15/05,수원시장,2005/06/15,계속,농업용
34,경기,일월저수지,6/15/05,수원시장,2005/06/15,계속,농업용
35,경기,원천저수지,6/15/05,수원시장,2005/06/15,계속,농업용
36,경기,"서호저수지
 (축만제)",6/16/05,수원시장,2005/06/15,계속,농업용
37,경기,신대저수지,12/03/08,수원시장,2008/12/03,계속,농업용
38,경기,고모저수지,2002/1/17,포천시장,2017/02/01,계속,농업용
39,경기,서랑저수지,11/1/17,오산시장,2017/11/01,계속,농업용
40,경기,기산저수지,2003/2/21,포천시장,2021/03/02,계속,농업용
41,경기,산정저수지,2003/2/21,포천시장,2021/03/02,계속,농업용
42,경기,물왕호수,2006/7/22,시흥시장,2022/06/07,계속,농업용
43,강원,경포호,2007/01/04,강릉시장,2004/07/01,계속,경관용(석호)
44,강원,영랑호,2009/10/04,속초시장,2004/09/10,계속,경관용(석호)
